StationName,closeness_centrality
巴沟,0.042202577720624704
苏州街,0.04360175269421651
海淀黄庄,0.04506885814579206
知春里,0.045758890602877626
知春路,0.04657056427167745
西土城,0.047181315431417424
牡丹园,0.04847345590622083
健德门,0.0481291690066682
北土城,0.04839803644309775
安贞门,0.04801034718109509
惠新西街南口,0.04803099672472088
芍药居,0.04648948740873732
太阳宫,0.044853975322769565
三元桥,0.04564902564523635
亮马桥,0.04605027650678033
农业展览馆,0.04672331184295412
团结湖,0.04746876240730538
呼家楼,0.048671926054874276
金台夕照,0.04867059118451647
国贸,0.04874671081116428
双井,0.04769650785052065
劲松,0.04654066191406997
潘家园,0.04560280143011509
十里河,0.045031179250867165
分钟寺,0.042686472242416874
成寿寺,0.04293639096015519
宋家庄,0.044462673632764745
石榴庄,0.04365626735835973
大红门,0.04368170691093745
角门东,0.04404254401033261
角门西,0.04516575373294417
草桥,0.043749758189547475
纪家庙,0.04260740455013787
首经贸,0.04217387970321003
丰台站,0.041731495953401226
泥洼,0.042549743290535215
西局,0.04361873808883177
六里桥,0.044951103386448324
莲花桥,0.04678856953256429
公主坟,0.048328485266672466
西钓鱼台,0.04560230473557254
慈寿寺,0.04565794162336164
车道沟,0.044013711790445706
长春桥,0.04316743861223799
火器营,0.042403693294251685
模式口,0.027733203789805937
金安桥,0.029075110001044346
北辛安,0.02821543279779178
新首钢,0.027705927954990228
西直门,0.05154331499788401
大钟寺,0.04704468865910033
五道口,0.04299056625992479
上地,0.035404192689555775
清河站,0.03430237898436958
西二旗,0.032346222449768515
龙泽,0.030296449669249863
回龙观,0.030266615599559673
霍营,0.03070294876673685
立水桥,0.03545954758377044
北苑,0.03383722925362258
望京西,0.04179755320996185
光熙门,0.04616261603047748
柳芳,0.04708856453621684
东直门,0.049441156562422754
善各庄,0.03375174487223551
来广营,0.035804353813191005
东湖渠,0.03730283553903365
望京,0.03949520188727461
阜通,0.03864798359721023
望京南,0.03803090189505047
将台,0.03892265681038565
东风北桥,0.03999434958783581
枣营,0.04239090216695704
朝阳公园,0.04445006595240057
金台路,0.04649144542112399
大望路,0.04683048636079235
九龙山,0.04549671723579364
平乐园,0.044492082361320115
北工大西门,0.04357303237139961
方庄,0.04620452652033316
蒲黄榆,0.04798459708995597
景泰,0.048004606846122524
永定门外,0.049110427376770315
北京南站,0.049056438141179416
景风门,0.047157978674016526
西铁营,0.04563814752999986
菜户营,0.0439433383168926
丽泽商务区,0.043342084671706374
东管头,0.04293534583323311
七里庄,0.042601917689794204
大井,0.03970321090724254
郭庄子,0.036818314211080776
大瓦窑,0.03470767558466522
园博园,0.0309462481412042
张郭庄,0.029494351271395634
俸伯,0.017352149525984375
顺义,0.018185566176929336
石门,0.018648929799668357
南法信,0.01967712236239315
后沙峪,0.021995893620609195
花梨坎,0.02398523998327403
国展,0.02504124846546307
孙河,0.028107939525657356
马泉营,0.031445488384299065
崔各庄,0.03364644831707367
望京东,0.03671157924264336
关庄,0.04143258939931597
大屯路东,0.043484854040720736
安立路,0.04320682293819093
奥林匹克公园,0.04383101112217973
北沙滩,0.042583950262831204
六道口,0.04314973548275677
清华东路西口,0.041032801653877564
北安河,0.020685755714575964
温阳路,0.021897426167683528
稻香湖路,0.023065869802778294
屯佃,0.024408989514378122
永丰,0.0258392503176907
永丰南,0.026872662198731037
西北旺,0.028915884622954763
马连洼,0.031589728086454064
农大南路,0.033719282525578306
西苑,0.03774147560465002
万泉河桥,0.040980302444338354
苏州桥,0.04436414728759153
万寿寺,0.045683397191783714
国家图书馆,0.04838668381923977
二里沟,0.050343471750581556
甘家口,0.05017749746132731
玉渊潭东门,0.050369248399537825
木樨地,0.05112458923558905
达官营,0.04943390311365042
红莲南路,0.04688772403939148
东管头南,0.04313637459687313
丰台南路,0.039398065297425566
富丰桥,0.037442746141909955
看丹,0.03562515283144793
榆树庄,0.033743622293426666
洪泰庄,0.03171243124183673
宛平城,0.030051147745571966
周家庄,0.0404945682920147
十八里店,0.036235723681945414
北神树,0.02867911561832772
次渠北,0.026496781194036836
次渠,0.02529606658714907
嘉会湖,0.02361287612830424
未来科学城北,0.023660437568889782
未来科学城,0.024720714126632633
天通苑东,0.030094791335634183
清河营,0.03202439281810844
红军营,0.0340824626069056
西坝河,0.04161315113876878
左家庄,0.03852870081881758
工人体育场,0.03526372055308844
新宫,0.0383842635420259
新发地,0.0390562508907146
牛街,0.046797619157266615
太平桥,0.048275348229870285
平安里,0.05330302534590671
积水潭,0.0518049196389759
北太平庄,0.049185153297970116
古城,0.032495693454728476
八角游乐园,0.034642213712930116
八宝山,0.03718506976819793
玉泉路,0.03927415795744436
五棵松,0.04221515517370299
万寿路,0.045555906485572964
军事博物馆,0.049692659871531215
南礼士路,0.0524089219626675
复兴门,0.0528047643957069
西单,0.05390506770824016
天安门西,0.053162366133359826
天安门东,0.053149372531657794
王府井,0.0533839354078578
东单,0.053222897881204136
建国门,0.05137789314759664
永安里,0.049612787239627046
四惠,0.0435825420987409
四惠东,0.04072675119085593
高碑店,0.038627968408070465
传媒大学,0.0360526630233926
双桥,0.03381158005018819
管庄,0.031806283228619614
八里桥,0.030031283649282103
通州北苑,0.02857097548458524
果园,0.027158013088199855
九棵树,0.026318491191740515
梨园,0.025280171177610538
临河里,0.024278440411699635
土桥,0.023725541494642784
花庄,0.02254491309459263
环球度假区,0.0214621626577524
鼓楼大街,0.051510431329117194
安定门,0.050981744669906404
雍和宫,0.05102098060664412
东四十条,0.050088616524820884
朝阳门,0.05126972771107581
北京站,0.05062487002690132
崇文门,0.052597350967216135
前门,0.052933528708405425
和平门,0.05291936044013467
宣武门,0.05322022753795494
长椿街,0.05198552973624098
阜成门,0.05198193426224523
车公庄,0.052129914362555235
天宫院,0.021608173415797998
生物医药基地,0.02255285450088454
义和庄,0.02423083577418601
黄村火车站,0.025663997606769733
黄村西大街,0.02631316764136652
清源路,0.02716947473128399
枣园,0.028072113724194724
高米店南,0.028988192502245668
高米店北,0.02997942488118152
西红门,0.031786895236258085
公益西桥,0.04313372769332715
马家堡,0.04613424659077882
陶然亭,0.050536138832990636
菜市口,0.05220647862351322
灵境胡同,0.05326038554688213
西四,0.053128676361631655
新街口,0.051431609347337565
动物园,0.04906334891812917
魏公村,0.04669414210306857
人民大学,0.04579870421862112
中关村,0.04328436703553795
北京大学东门,0.04166411915207915
圆明园,0.039647881603881815
北宫门,0.035621404055270804
安河桥北,0.033539269430666464
刘家窑,0.04634393496520272
天坛东门,0.04973863855492168
磁器口,0.051700553561615535
灯市口,0.05302343275321756
东四,0.053063904936895674
张自忠路,0.05197075499637431
北新桥,0.05138934857571861
和平里北街,0.049744001177326205
和平西桥,0.04876726417958683
惠新西街北口,0.04591108634745502
北苑路北,0.0390138640219916
立水桥南,0.03704078935722808
天通苑南,0.03367145363443442
天通苑,0.03260240953152144
天通苑北,0.03162662345719874
潞城,0.02125137287516025
东夏园,0.021813892093082
郝家府,0.022483301545321164
北运河东,0.022956617120864293
北运河西,0.02382997656800745
通州北关,0.0262672372405879
物资学院路,0.028324558417975668
草房,0.030216345171526868
常营,0.031583362923649966
黄渠,0.033613027411798835
褡裢坡,0.0350032045091527
青年路,0.04045585789229339
十里堡,0.042603785299202085
东大桥,0.049073570314635995
南锣鼓巷,0.05213032045023321
北海北,0.052086392698476314
车公庄西,0.05117090976961034
白石桥南,0.04971803156566569
花园桥,0.046978051112746985
海淀五路居,0.04262558361407893
田村,0.038996870367741666
廖公庄,0.03573844650773751
西黄村,0.033634681153468994
杨庄,0.031314924261761884
苹果园,0.030476505232293893
高楼金,0.02234222195766176
群芳,0.022906585268980845
万盛东,0.023473886356757543
万盛西,0.024627132346008836
黑庄户,0.026642907651024166
郎辛庄,0.028577685519998616
黄厂,0.03034813407878005
焦化厂,0.03228325569201619
双合,0.03364681489782419
垡头,0.035176192485555535
欢乐谷景区,0.03716524055976447
南楼梓庄,0.03846237274183788
化工,0.04080653816196345
百子湾,0.042498154710507226
大郊亭,0.044071325293532276
广渠门外,0.04842554211374785
广渠门内,0.04985653075591037
桥湾,0.05154632951422728
珠市口,0.05219706107905465
虎坊桥,0.051884135240863764
广安门内,0.0506523583012915
湾子,0.048512692128364975
北京西站,0.04865516472823154
瀛海,0.027673780299932765
德茂,0.0292644295076976
五福堂,0.03193626577757992
火箭万源,0.03412313125079215
东高地,0.03584076763133577
和义,0.038128096830495194
大红门南,0.042048182786008005
海户屯,0.045245155731936895
木樨园,0.047018750882665813
天桥,0.05084404579513872
金鱼胡同,0.05220882574469373
中国美术馆,0.051471185671559845
什刹海,0.05102481161163715
安德里北街,0.05030823689725648
安华桥,0.0491496073006534
奥体中心,0.04655039939936126
森林公园南门,0.04225758850294621
林萃桥,0.037975982154309404
永泰庄,0.034204992059125104
西小口,0.0329898557775786
育新,0.0313889736323767
回龙观东大街,0.029630068745841242
平西府,0.027984794932183303
育知路,0.026642907584690234
朱辛庄,0.026522073629575163
郭公庄,0.03623024970539819
丰台科技园,0.03700654634802999
科怡路,0.03803395432534348
丰台东大街,0.04071973001139499
六里桥东,0.04643257350067403
白堆子,0.049047190873706514
四道桥,0.026630622825670705
桥户营,0.025885941475741664
上岸,0.025175165407832996
栗园庄,0.024489345409225337
小园,0.02371505866358768
石厂,0.022993109889480536
肖村,0.039513708117367104
小红门,0.03728313255540456
旧宫,0.03433039388806697
亦庄桥,0.032158088516678784
亦庄文化园,0.03092841086178808
万源街,0.02946373247604271
荣京东街,0.02807635579653868
荣昌东街,0.026742786778453813
同济南路,0.025046334133859722
经海路,0.02373956661208939
次渠南,0.024285270560363555
亦庄火车站,0.02414357616088105
大兴新城,0.027618739920850274
大兴机场,0.015287314198456177
阎村东,0.018694179454552845
苏庄,0.01965947589685678
良乡南关,0.020160724902281685
良乡大学城西,0.0206859441423864
良乡大学城,0.02140933284635066
良乡大学城北,0.02200131513143855
广阳城,0.023003841664760674
篱笆房,0.023917832670554414
长阳,0.025219973243239355
稻田,0.027761489315382037
大葆台,0.03442942414978839
白盆窑,0.03755196577874369
花乡东桥,0.03965440795298897
昌平西山口,0.01557658668208024
十三陵景区,0.01595755137673838
昌平,0.01714918263383826
昌平东关,0.017923985390010853
北邵洼,0.018484634487292616
南邵,0.019208117390658114
沙河高教园,0.02134141759676524
沙河,0.022518676798754095
巩华城,0.023733590419744464
生命科学园,0.027638560691952377
朱房北,0.03549428562990786
清河小营桥,0.03668514984257163
学知园,0.04050837425360905
学院桥,0.044937708047403185
紫草坞,0.01814029833818661
阎村,0.01769481218597127
星城,0.01712086990985987
大石河东,0.016497159891712295
马各庄,0.015847760954973977
饶乐府,0.015530975340938292
房山城关,0.015083516584195886
燕山,0.01445409533449037
颐和园西门,0.036455498023998965
茶棚,0.0343740555857399
万安,0.03261802260069679
国家植物园,0.03022421502880209
香山,0.029325351170575723
3号航站楼,0.019505152547013765
2号航站楼,0.021561790346409003
